Sample,5FU,ABRAXANE,BGJ398,BINIMETINIB,BINIMETINIB-3.5MPK,BKM120,BYL719,CETUXIMAB,CGM097,DACARBAZINE,ENCORAFENIB,ERLOTINIB,GEMCITABINE-50MPK,HDM201,HSP990,INC280,INC424,LDE225,LDK378,LEE011,LGH447,PACLITAXEL,TAMOXIFEN,TRAMETINIB,TRASTUZUMAB,WNT974
X-2483,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,
X-2484,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,
X-2487,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,
X-2524,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,
X-2538,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-2564,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0
X-2573,0.0,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-2602,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,0.0
X-2613,,,,0.0,,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0
X-2633,,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,
X-2640,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,
X-2659,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-2684,,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,0.0
X-2700,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
X-2723,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-2753,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-2780,,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,
