depmap_id,DASATINIB,OLAPARIB,IMATINIB,ERLOTINIB,FULVESTRANT,AFATINIB,BICALUTAMIDE,FTY-720,5-FLUOROURACIL,BELINOSTAT,PAZOPANIB,OXALIPLATIN,ALPELISIB,TAMOXIFEN,VINORELBINE,IBRUTINIB,RUXOLITINIB,TEMOZOLOMIDE,DABRAFENIB,DOXORUBICIN,ZOLEDRONATE,OSIMERTINIB,ALECTINIB,VINCRISTINE,CETUXIMAB,VINBLASTINE,TENIPOSIDE,TEMSIROLIMUS,TALAZOPARIB,IRINOTECAN,GEFITINIB,VORINOSTAT,CYCLOPHOSPHAMIDE,CRIZOTINIB,DOCETAXEL,SORAFENIB,AXITINIB,NILOTINIB,SUNITINIB,FLUDARABINE,TOPOTECAN,PONATINIB,MIDOSTAURIN,SN-38,BLEOMYCIN,GEMCITABINE,IDELALISIB,TRAMETINIB,LEFLUNOMIDE,ETOPOSIDE,PANOBINOSTAT,DACTINOMYCIN,CAMPTOTHECIN,CYTARABINE,MITOXANTRONE,PALBOCICLIB,CABOZANTINIB,METHOTREXATE,VENETOCLAX,PYRIMETHAMINE,LAPATINIB,CISPLATIN,BORTEZOMIB,TRETINOIN,PEMETREXED,LENALIDOMIDE,PACLITAXEL,MITOMYCIN-C,BEXAROTENE,CARMUSTINE,EPIRUBICIN
ACH-000019,0.922836,0.837933,0.538742,0.643292,0.8531780000000001,0.908168,0.833506,0.8750709999999999,0.970469,0.961624,0.901213,0.942993,0.97908,0.9857,0.974803,0.697412,0.91038,0.959134,-99999.0,0.962044,0.884555,0.873326,0.969652,0.963683,0.733827,0.96358,0.769332,0.8571770000000001,0.96743,0.852352,0.959551,0.975522,0.9857,0.8750479999999999,0.986373,0.984307,0.960282,-99999.0,0.980958,0.800948,0.985694,0.980364,0.948287,0.965582,0.980822,0.970966,0.919201,0.955638,0.865065,-99999.0,0.8444149999999999,0.8413379999999999,0.962784,0.981468,0.883272,0.961928,0.904567,0.973361,0.5850479999999999,0.761432,0.9857,0.898552,0.974642,0.328121,0.985678,0.536989,0.843015,0.913517,0.985593,0.8787959999999999,-99999.0
ACH-000020,0.874717,0.948743,0.577511,-99999.0,0.989387,0.931086,0.986882,0.90378,0.990438,-99999.0,-99999.0,0.949988,0.989798,-99999.0,-99999.0,0.7339289999999999,0.928725,0.823261,-99999.0,0.990476,0.979524,0.826332,-99999.0,0.943313,-99999.0,0.653231,-99999.0,0.8908020000000001,0.991025,0.996289,0.987723,-99999.0,-99999.0,0.7023699999999999,-99999.0,-99999.0,0.990144,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.984099,-99999.0,0.975467,0.607974,0.981646,0.967088,-99999.0,0.737216,0.940088,0.991098,-99999.0,0.991536,0.98849,0.939821,0.99646,0.448403,0.951214,-99999.0,0.354097,0.979472,-99999.0,-99999.0,0.619917,0.6771689999999999,0.931911,-99999.0,0.939185,-99999.0
ACH-000021,0.719233,0.965995,0.695496,0.955246,0.95557,0.928472,0.859284,0.873324,0.822406,-99999.0,0.598529,0.960722,0.939711,0.8289780000000001,-99999.0,0.73921,0.779763,0.973532,-99999.0,0.941936,0.937239,0.960166,0.972283,0.85514,-99999.0,0.97029,-99999.0,0.882957,0.95727,0.90754,0.967268,0.965912,0.974474,0.960364,0.8677229999999999,0.908496,0.964364,-99999.0,-99999.0,0.94043,0.97192,0.948014,-99999.0,0.945919,0.971364,0.948347,0.828252,0.924983,0.973157,-99999.0,0.774176,0.980627,0.966237,0.85701,0.95646,0.949917,0.927569,0.785328,0.634316,0.948459,0.968423,0.7964439999999999,0.8290270000000001,-99999.0,0.923886,0.679818,0.867658,0.888452,0.86119,0.823615,-99999.0
ACH-000023,0.8573959999999999,0.979432,0.113119,0.8379030000000001,0.94569,0.925478,0.770388,0.880049,0.953059,0.984878,0.635397,0.976093,0.950415,0.959877,0.970733,0.712677,0.852944,0.980622,-99999.0,0.969875,0.922214,0.937216,0.968858,0.934881,0.936291,0.959245,0.874555,0.872983,0.969733,0.877801,0.96402,0.962742,0.984266,0.828635,0.96874,0.6804640000000001,0.979056,-99999.0,0.957983,0.6594770000000001,0.976621,0.935364,0.972035,0.950568,0.980447,0.973958,0.5795319999999999,0.899861,0.97904,-99999.0,0.835032,0.902736,0.965902,0.634209,0.985267,0.976214,0.953745,0.5756359999999999,0.6895979999999999,0.8473200000000001,0.985772,0.8598790000000001,0.8548870000000001,0.902059,0.984906,0.497791,0.615952,0.82642,0.976571,0.919212,-99999.0
ACH-000024,0.927473,0.97384,0.592029,0.935553,0.96476,0.775591,0.992338,0.990246,0.99341,0.98839,0.295651,0.99463,0.991833,0.72431,0.772787,0.7410359999999999,0.653277,0.932521,0.950135,0.99474,0.928047,0.8116909999999999,0.794412,0.985633,0.2161409999999999,0.969477,0.8260059999999999,0.65582,0.99474,0.975062,0.994676,0.958418,0.985314,0.6546569999999999,0.959776,0.5921770000000001,0.992965,0.224502,0.989284,0.728504,0.876172,0.8477950000000001,0.992097,0.983548,0.989799,0.994739,0.622382,0.981599,0.992667,0.609507,0.865088,0.945709,0.992584,0.648892,0.988546,0.965105,0.988768,0.993934,0.950299,0.742564,0.992231,0.866726,0.880127,0.814533,0.756792,0.922368,0.4928369999999999,0.880143,0.958234,0.98397,-99999.0
ACH-000030,0.4169239999999999,0.948851,0.7377020000000001,0.750821,0.969711,0.863874,0.970605,0.908803,0.35819,0.98474,0.333852,0.98341,0.986508,0.896069,0.924843,0.7077260000000001,0.656921,0.965536,-99999.0,0.982088,0.970999,0.939532,0.686366,0.567177,0.2023599999999999,0.972051,0.7683770000000001,0.848691,0.975548,0.971033,0.978047,0.97207,0.910012,0.945677,0.974282,0.527313,0.973822,-99999.0,0.982108,0.614672,0.925143,0.791959,0.956921,0.965694,0.97671,0.965698,0.5436529999999999,0.971706,0.987191,-99999.0,0.7155229999999999,0.910594,0.976266,0.864426,0.973,0.956733,0.974616,0.933475,0.690813,0.8410989999999999,0.985272,0.7854909999999999,0.8336370000000001,0.505304,0.920711,0.483699,0.61519,0.853007,0.771922,0.909866,0.955599
ACH-000035,0.79379,0.946281,0.801664,-99999.0,0.971256,0.858051,0.918444,0.7841199999999999,0.786556,-99999.0,-99999.0,0.919723,-99999.0,-99999.0,-99999.0,0.759005,0.68726,0.976301,-99999.0,0.943488,0.966699,0.930571,-99999.0,0.816715,-99999.0,0.965628,-99999.0,0.823673,0.954733,0.962615,0.958493,-99999.0,-99999.0,0.925262,-99999.0,-99999.0,0.954738,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.929762,-99999.0,0.964216,0.7347819999999999,0.932872,0.971137,-99999.0,0.857276,0.977399,0.957121,-99999.0,0.961072,0.942442,0.915242,0.947739,0.857138,0.84983,-99999.0,0.8776,0.953553,-99999.0,-99999.0,0.82414,0.955042,0.95297,-99999.0,0.808787,-99999.0
ACH-000038,0.977814,-99999.0,0.410393,0.8753280000000001,0.971934,-99999.0,0.775091,-99999.0,-99999.0,0.971693,-99999.0,-99999.0,0.981493,-99999.0,0.960664,-99999.0,-99999.0,0.924306,0.94286,-99999.0,0.978068,-99999.0,-99999.0,0.976956,0.8842110000000001,-99999.0,0.836233,-99999.0,-99999.0,0.746676,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.6970569999999999,0.966259,0.636441,-99999.0,-99999.0,0.924466,0.970664,-99999.0,-99999.0,-99999.0,0.972894,0.93377,0.976778,0.524859,0.887076,-99999.0,-99999.0,0.962703,-99999.0,-99999.0,0.917848,0.761487,-99999.0,-99999.0,-99999.0,0.831043,0.776722,-99999.0,0.6661779999999999,0.75745,-99999.0,-99999.0,-99999.0,-99999.0
ACH-000040,0.907125,0.984207,0.491838,0.953965,0.952455,0.779193,0.8384030000000001,0.8404450000000001,0.979194,0.950019,0.6405770000000001,0.931337,0.977098,0.944258,0.977546,0.722449,0.824824,0.904366,-99999.0,0.952491,0.901244,0.821851,0.983291,0.944665,0.648586,0.5316489999999999,0.746494,0.759598,0.978277,0.784563,0.941308,0.983274,0.912425,0.923596,0.979658,0.98104,0.979393,-99999.0,0.969011,0.91169,0.961247,0.952693,0.981672,0.963714,0.957263,0.980212,0.845829,0.96709,0.969549,-99999.0,0.75739,0.985566,0.966426,0.982509,0.98122,0.969173,0.915385,0.887418,0.579153,0.902765,0.968011,0.620117,0.901337,0.787944,0.980639,0.468247,0.816851,0.964667,0.961004,0.916228,-99999.0
ACH-000042,0.792917,0.905097,0.622726,0.960849,0.976257,0.952078,0.879086,0.8425600000000001,0.8408389999999999,0.98043,0.361975,0.971484,0.978653,0.8388129999999999,0.981564,0.776895,0.7833220000000001,0.961718,-99999.0,0.973872,0.959648,0.81282,0.896659,0.906161,0.801136,0.908586,0.799149,0.8964540000000001,0.946838,0.930951,0.948852,0.979111,0.972162,0.715341,0.909512,0.840526,0.977841,-99999.0,0.976642,0.84224,0.936971,0.780468,0.980654,0.941937,0.971509,0.945629,0.655914,0.914382,0.95619,-99999.0,0.751323,0.9639,0.975778,0.7600560000000001,0.940603,0.973181,0.976325,0.597159,0.682491,0.7466550000000001,0.967986,0.704523,0.522522,0.777399,0.974422,0.6826479999999999,0.8870600000000001,0.801495,0.786827,0.907909,0.8825729999999999
